exchange,asset,frequency,year,valid_bars,expected_bars,completeness_pct
okx,BTC/USDT,1m,2020,129600,129600,100.0
okx,BTC/USDT,5m,2020,25920,25920,100.0
okx,BTC/USDT,10m,2020,12960,12960,100.0
okx,BTC/USDT,15m,2020,8640,8640,100.0
okx,BTC/USDT,1m,2021,129600,129600,100.0
okx,BTC/USDT,5m,2021,25920,25920,100.0
okx,BTC/USDT,10m,2021,12960,12960,100.0
okx,BTC/USDT,15m,2021,8640,8640,100.0
okx,BTC/USDT,1m,2022,129600,129600,100.0
okx,BTC/USDT,5m,2022,25920,25920,100.0
okx,BTC/USDT,10m,2022,12960,12960,100.0
okx,BTC/USDT,15m,2022,8640,8640,100.0
okx,BTC/USDT,1m,2023,129600,129600,100.0
okx,BTC/USDT,5m,2023,25920,25920,100.0
okx,BTC/USDT,10m,2023,12960,12960,100.0
okx,BTC/USDT,15m,2023,8640,8640,100.0
okx,BTC/USDT,1m,2024,129600,129600,100.0
okx,BTC/USDT,5m,2024,25920,25920,100.0
okx,BTC/USDT,10m,2024,12960,12960,100.0
okx,BTC/USDT,15m,2024,8640,8640,100.0
okx,ETH/USDT,1m,2020,129600,129600,100.0
okx,ETH/USDT,5m,2020,25920,25920,100.0
okx,ETH/USDT,10m,2020,12960,12960,100.0
okx,ETH/USDT,15m,2020,8640,8640,100.0
okx,ETH/USDT,1m,2021,129600,129600,100.0
okx,ETH/USDT,5m,2021,25920,25920,100.0
okx,ETH/USDT,10m,2021,12960,12960,100.0
okx,ETH/USDT,15m,2021,8640,8640,100.0
okx,ETH/USDT,1m,2022,129600,129600,100.0
okx,ETH/USDT,5m,2022,25920,25920,100.0
okx,ETH/USDT,10m,2022,12960,12960,100.0
okx,ETH/USDT,15m,2022,8640,8640,100.0
coinbase,BTC/USDT,1m,2017,76628,129600,59.13
coinbase,BTC/USDT,5m,2017,11966,25920,46.17
coinbase,BTC/USDT,10m,2017,4824,12960,37.22
coinbase,BTC/USDT,15m,2017,2747,8640,31.79
coinbase,ETH/USDT,1m,2017,50964,129600,39.32
coinbase,ETH/USDT,5m,2017,3369,25920,13.0
coinbase,ETH/USDT,10m,2017,873,12960,6.74
coinbase,ETH/USDT,15m,2017,412,8640,4.77
